 TT
 Blade row:            2
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.1627040175073343  0.2720981778552471 -0.0273485400869782  0.0820456202609346  0.1093941603479128  0.0884955677067547
 2   0.1435690000000000  0.2170600000000000 -0.0183727500000000  0.0551182500000000  0.0734910000000000  0.0884955677067547
