         241           2
     198.9979045082477853       -1.4197663326067231      311.2737621332077538
     198.9992871109140822       -1.4186881016249118      311.2737670493135056
     199.0004925897770534       -1.4173723260647255      311.2737730434243986
     199.0015084776375431       -1.4158337475254761      311.2737800454759736
     199.0023247464239660       -1.4140898982979306      311.2737879725170842
     199.0029339631840344       -1.4121608622027111      311.2737967299837578
     199.0033314157577990       -1.4100690005423864      311.2738062131372203
     199.0035152075070073       -1.4078386460074122      311.2738163086429495
     199.0034863210582898       -1.4054957677197106      311.2738268962665984
     199.0032486516565484       -1.4030676108530531      311.2738378506605841
     199.0028090114318502       -1.4005823144300682      311.2738490432186609
     199.0021771066493272       -1.3980685109501019      311.2738603439721601
     199.0013654908295280       -1.3955549114469064      311.2738716235095922
     199.0003894974762773       -1.3930698794200462      311.2738827548996596
     198.9992671569631568       -1.3906409968600404      311.2738936156031286
     198.9981651332304295       -1.3884240584296876      311.2739035120579274
     198.9968410594757984       -1.3857611425866792      311.2739153784905284
     198.9952502034066981       -1.3825627256622917      311.2739296010984162
     198.9933388254273154       -1.3787213988159792      311.2739466391371934
     198.9910423667281805       -1.3741083327867545      311.2739670375435139
     198.9882832736854539       -1.3685690606738647      311.2739914411837958
     198.9849683859169431       -1.3619184547021548      311.2740206106553842
     198.9809858009797665       -1.3539347537722382      311.2740554393868706
     198.9762011115596749       -1.3443524781049803      311.2740969714868697
     198.9704528905809298       -1.3328540462581973      311.2741464193442198
     198.9635472753800798       -1.3190598896212444      311.2742051793042606
     198.9552514732396844       -1.3025168424593896      311.2742748427423862
     198.9452859764069501       -1.2826845752587146      311.2743571984051982
     198.9333152343311326       -1.2589198409191236      311.2744542197996225
     198.9189364832587614       -1.2304583252476158      311.2745680284687637
     198.9016663774068547       -1.1963939467394884      311.2747008199095262
     198.8809250004835576       -1.1556555520736191      311.2748547333127362
     198.8560167599752333       -1.1069811255452091      311.2750316388831493
     198.8261075778783606       -1.0488899029980994      311.2752328068704060
     198.7901976887081901       -0.9796531930310693      311.2754584104268361
     198.7470892366052340       -0.8972653094927673      311.2757068002004530
     198.6953477255655116       -0.7994168675238689      311.2759734731736785
     198.6332562166014100       -0.6834738529700356      311.2762496440939231
     198.5587609778872036       -0.5464673980500396      311.2765203197678829
     198.4694070716651879       -0.3851011146361452      311.2767617830336917
     198.3622620972278128       -0.1957851203072339      311.2769384281248790
     198.2338260006500832        0.0252915986432149      311.2769989725148889
     198.0799245348122497        0.2820364223796551      311.2768722286582488
     197.8955837243438793        0.5782600812925910      311.2764628819184622
     197.6748829321055325        0.9173991912286142      311.2756481122863761
     197.4107858582358404        1.3021402091530676      311.2742764185240389
     197.0949545449392701        1.7339361223132126      311.2721706072094889
     196.7175667643911936        2.2124169306338666      311.2691374684053471
     196.2671925838699565        2.7347111331286134      311.2649869227477666
     195.7308565373867566        3.2947261146785265      311.2595629194856883
     195.0945250255949190        3.8825046824135478      311.2527861504070756
     194.3443727994470294        4.4839267794200977      311.2447029744229781
     193.4691423612077301        5.0812736945482753      311.2355239792544808
     192.4634706322949000        5.6553473497165987      311.2256219776161288
     191.3312037171262148        6.1894805270620594      311.2154576170745486
