x_s	r_s
-55.70862012008712	1.1898347521567243
-55.13626028174332	1.56183696018084
-54.371402265167156	2.055184435118653
-53.79787785651644	2.4253676690193835
-53.2241946428239	2.795310922034367
-52.650458494117316	3.1651874504642663
-52.07664294288993	3.5349213719665813
-51.5027744566485	3.904533225326726
-50.92880010037922	4.2740222694545045
-50.354746341588985	4.643392209800893
-49.78061318027786	5.01264622246673
-49.20640061644579	5.381779013950619
-48.63210865009278	5.75079084892763
-48.05779021623277	6.119712165030785
-47.4833659123449	6.488511465926782
-46.90888867344307	6.857188222265488
-46.3343320320203	7.2257943103605635
-45.759695988076636	7.594234976537047
-45.18503347662599	7.962644940405437
-44.61023862764043	8.330891070405647
-44.035443778654944	8.699075266439536
-43.46054305964145	9.067131889089806
-42.885589405614056	9.435111226619703
-42.31060928407976	9.803015131754723
-41.735523292517456	10.170767642749844
-41.160437300955216	10.538490510137153
-40.58524543936505	10.906084745440559
-40.0100271102679	11.273618105477922
-39.434702911142885	11.641039772635848
-38.8593787120178	12.008402946603361
-38.28394864286485	12.375646222764276
-37.7085185737119	12.742857473241745
-37.13303556954499	13.109954648764157
-36.55747316285719	13.47698883161996
-35.981884288662414	13.843956581033263
-35.406242479453674	14.210813431592333
-34.83057420273795	14.57765254892173
-34.254826523501265	14.944380238046762
-33.67905237675768	15.31105684488333
-33.103225295000044	15.677650608423066
-32.52737174573551	16.044219227831174
-31.951465261457002	16.410687535387847
-31.37553230967151	16.777105554681263
-30.79954642287213	17.14345290573106
-30.223534068565687	17.50978490562681
-29.647468779245354	17.876004683292983
-29.07140348992502	18.24221307993115
-28.495285265590724	18.608355043126817
-27.91914057374943	18.974446453384164
-27.34296941440116	19.340476194350252
-26.766771787545906	19.706487937411595
-26.19054769318367	20.072440393257317
-25.614270663807545	20.438334885262762
-25.037993634431412	20.804220642990906
-24.46169013754822	21.170044731427797
-23.885333705651142	21.535825148478175
-23.30897727375406	21.901593655150418
-22.732594374349993	22.267303668632238
-22.156185007438943	22.633005212511833
-21.57977564052797	22.998653027352265
-21.003339806109942	23.364278080136703
-20.426903971691914	23.729899427470162
-19.85041520225998	24.095472339265857
-19.273926432827977	24.46100899057699
-18.69743766339606	24.826561522392314
-18.12092242645707	25.192078852423364
-17.544380722011184	25.557548805616918
-16.967865485072267	25.923050519818844
-16.391297313119317	26.288506180558638
-15.814755608673423	26.653961047273217
-15.238213904227528	27.019405856335155
-14.66164573227465	27.38484298982006
-14.085077560321771	27.750287798881992
-13.508509388368822	28.115690259932766
-12.931941216415952	28.4811297754933
-12.355373044463072	28.84657193780454
-11.778804872510193	29.211979692356707
-11.202236700557314	29.577427148169335
-10.62569499611142	29.94287195723126
-10.049126824158463	30.30832470654529
-9.472585119712576	30.673777455859312
-8.896069882773673	31.039267259683104
-8.319554645834685	31.404762357008288
-7.743039408895783	31.770273334837658
-7.166524171956873	32.135805486672616
-6.5900089350178845	32.501340285258266
-6.0135466330929495	32.86691478510437
-5.4370578636609395	33.23248663819979
-4.860622029242904	33.59811142630915
-4.284159727317963	33.963715040412936
-3.707750360406919	34.32935570902648
-3.131340993495876	34.695033432149806
-2.5549316265848248	35.06072174227591
-1.9785487271807511	35.4264232861555
-1.402192295283669	35.79219099880253
-0.8258623308935782	36.157977238704454
-0.24953236650348032	36.52382170712171
0.32669172785876555	36.88976939881618
0.902915822220919	37.25572767751343
1.4791134490761806	37.62174418472603
2.0553375434384122	37.98771040367538
2.631561637800573	38.353658095369845
3.2075210570930466	38.720071615187074
3.7844862416506047	39.08488649758299
4.36531568222653	39.44352121710014
4.951173949127799	39.793892780939565
5.538726136475432	40.141387326770754
6.125351961079005	40.49043551526141
6.710522072798915	40.84195047540217
7.293601251467783	41.196892977696244
7.8761775475041205	41.55266920646005
8.4608712440984	41.90497289830868
9.048211691390321	42.25284328273893
9.637298994142554	42.59773871938513
10.226545101936708	42.94232183944902
10.815076587042512	43.28814363883936
11.402152359264662	43.63646661763889
11.987878288631022	43.987036687780616
12.572386712676561	44.3396129949511
13.156021708991872	44.69364501500523
13.738809745083984	45.04905599217277
14.320883158487774	45.40565006690212
14.903141844440368	45.761968879558914
15.485056452802324	46.11881968910592
16.065488880773643	46.47806580803421
16.643168688019472	46.84174258763018
17.217566524400354	47.21059376483986
17.789	47.584
18.358210205013705	47.960788782551596
18.925911762129857	48.33987494470868
19.49292516406466	48.71994569812523
20.05869459317151	49.10188241078355
20.62303477690176	49.48591799674503
21.189121816092353	49.867396821532694
21.76021121410139	50.24137475484349
22.340167226947145	50.601563117020106
22.933621668350284	50.939275272273186
23.541897913659795	51.24948239427738
24.161369914419865	51.53644045815436
24.78984086755156	51.803134998690936
25.42506103496204	52.05317883058927
26.06533649620478	52.28993068048454
26.70997909609848	52.51458687969204
27.358300679461767	52.72832523227217
28.009718961141232	52.932402944806256
28.663678123490257	53.12815927314728
29.319860556425297	53.316271785473795
29.97802805238346	53.497386288956015
30.637889468788003	53.672310042556674
31.299180130569283	53.84158033666735
31.961714765178357	54.006012370502944
32.62525516505259	54.16629694599548
33.289668992656914	54.322923712024036
33.95485037796354	54.476252626683426
34.620693450944614	54.6265748325504
35.28717174409307	54.77422911371427
35.95412645236702	54.91961777628104
36.62150464075263	55.063034609578125
37.2894915817987	55.20365118063722
37.95824608054703	55.34053583321278
38.62797987705346	55.472693389042526
39.29877237383893	55.59925042039628
39.970782375945205	55.71923027626662
40.6440892858933	55.83168012640246
41.31877250620413	55.93563920030058
41.99483203687765	56.030122906701486
42.67237374794189	56.11357230944432
43.35134470438274	56.18431995558967
44.03166550367931	56.24087043099339
44.713150873282785	56.28146364644161
45.39550967061649	56.30342903048053
46.07823901304785	56.303804869079585
46.760597810381576	56.280754317254676
47.44181850491536	56.23540224405227
48.12153055155153	56.171890814314004
48.79957514524825	56.09245917913002
49.4755288058939	55.99692735945289
50.148835715842026	55.88388993066219
50.81809309722288	55.74888711783259
51.48168643211099	55.58805995844706
52.13720717737161	55.396728997272334
52.78211445233502	55.17219190184622
53.41418498641539	54.91359112494273
54.03124844404074	54.621051063844625
54.63293428011332	54.298211000761064
55.219189559619196	53.94816763400812
55.79117885286537	53.57536221125633
56.35027847021442	53.183587526255224
56.898447007182654	52.776710481773954
57.43814594191879	52.358664149349046
57.97112212988311	51.93215880169478
58.49880481645242	51.49908421880922
59.022755584538146	51.0615419207462
59.54405960192628	50.6208446958517
60.06311388122157	50.177495426758284
60.580156629986696	49.73180643004824
61.09526725074265	49.28388622250013
61.608392808475436	48.83369510285357
62.11945390066408	48.381180136094535
62.628556397336574	47.926415431242596
63.1357002984929	47.46950421157496
63.64101794166792	47.0105523471195
64.14453579436858	46.54966041440275
64.64638619412986	46.08694487045541
65.14670147848652	45.62253805281233
65.6454022449177	45.156424080969316
66.14275316849309	44.68886233649477
66.80401736276738	44.06348278817777
67.29808631547782	43.592437919785255
67.62675981709876	43.27768103333198
0.0	0.0
