X	Y	Z
-49.027018290988295	105.267	0.0
-48.506691165221206	105.267	0.0
-47.81136569560651	105.267	0.0
-47.289979869560405	105.267	0.0
-46.76844967529446	105.267	0.0
-46.24687135828847	105.267	0.0
-45.72522085717267	105.267	0.0
-45.203522233316825	105.267	0.0
-44.68172736398111	105.267	0.0
-44.159860310535436	105.267	0.0
-43.63792107297988	105.267	0.0
-43.11590965131436	105.267	0.0
-42.59382604553889	105.267	0.0
-42.07171837839343	105.267	0.0
-41.5495144657681	105.267	0.0
-41.0272624304028	105.267	0.0
-40.50493821092754	105.267	0.0
-39.9825418073424	105.267	0.0
-39.46012134238727	105.267	0.0
-38.93758057058221	105.267	0.0
-38.41503979877723	105.267	0.0
-37.89240278149223	105.267	0.0
-37.36971764146733	105.267	0.0
-36.847008440072514	105.267	0.0
-36.32420299319769	105.267	0.0
-35.80139754632293	105.267	0.0
-35.27849585396823	105.267	0.0
-34.755570100243546	105.267	0.0
-34.23254810103899	105.267	0.0
-33.70952610183436	105.267	0.0
-33.18640785714987	105.267	0.0
-32.66328961246537	105.267	0.0
-32.1401232450409	105.267	0.0
-31.616884693506545	105.267	0.0
-31.093622080602202	105.267	0.0
-30.57031134495789	105.267	0.0
-30.046976547943594	105.267	0.0
-29.52356956681934	105.267	0.0
-29.00013852432517	105.267	0.0
-28.476659359090956	105.267	0.0
-27.953156132486832	105.267	0.0
-27.429604783142736	105.267	0.0
-26.90602937242865	105.267	0.0
-26.38240583897467	105.267	0.0
-25.858758244150636	105.267	0.0
-25.33506252658669	105.267	0.0
-24.81136680902275	105.267	0.0
-24.287622968718843	105.267	0.0
-23.763855067044943	105.267	0.0
-23.240063104001063	105.267	0.0
-22.71624707958719	105.267	0.0
-22.192406993803342	105.267	0.0
-21.66851878527959	105.267	0.0
-21.144630576755837	105.267	0.0
-20.620718306862024	105.267	0.0
-20.096757914228316	105.267	0.0
-19.572797521594605	105.267	0.0
-19.04881306759091	105.267	0.0
-18.524804552217226	105.267	0.0
-18.000796036843614	105.267	0.0
-17.47676346009995	105.267	0.0
-16.95273088335629	105.267	0.0
-16.42865018387272	105.267	0.0
-15.904569484389079	105.267	0.0
-15.38048878490551	105.267	0.0
-14.856384024051884	105.267	0.0
-14.332255201828353	105.267	0.0
-13.808150440974792	105.267	0.0
-13.283997557381198	105.267	0.0
-12.759868735157667	105.267	0.0
-12.235739912934122	105.267	0.0
-11.711587029340599	105.267	0.0
-11.18743414574707	105.267	0.0
-10.663281262153482	105.267	0.0
-10.13912837855996	105.267	0.0
-9.61497549496643	105.267	0.0
-9.090822611372907	105.267	0.0
-8.566669727779384	105.267	0.0
-8.042540905555839	105.267	0.0
-7.518388021962245	105.267	0.0
-6.994259199738714	105.267	0.0
-6.47015443888516	105.267	0.0
-5.946049678031542	105.267	0.0
-5.4219449171779885	105.267	0.0
-4.897840156324435	105.267	0.0
-4.37373539547081	105.267	0.0
-3.849678757357232	105.267	0.0
-3.3255980578735915	105.267	0.0
-2.801565481129913	105.267	0.0
-2.277508843016335	105.267	0.0
-1.7535003276426622	105.267	0.0
-1.2294918122689822	105.267	0.0
-0.7054832968952951	105.267	0.0
-0.18149884289159957	105.267	0.0
0.3424615497421115	105.267	0.0
16.10769536402942	103.0779677419355	0.0
15.568055557132054	103.15093548387098	0.0
15.028415750234686	103.22390322580647	0.0
14.488775943337318	103.29687096774194	0.0
13.94913613643995	103.36983870967742	0.0
13.409496329542584	103.44280645161291	0.0
12.869856522645216	103.5157741935484	0.0
12.330216715747849	103.58874193548388	0.0
11.790576908850483	103.66170967741937	0.0
11.250937101953115	103.73467741935484	0.0
10.711297295055747	103.80764516129032	0.0
10.171657488158381	103.88061290322581	0.0
9.632017681261013	103.9535806451613	0.0
9.092377874363645	104.02654838709678	0.0
8.55273806746628	104.09951612903227	0.0
8.013098260568912	104.17248387096774	0.0
7.473458453671544	104.24545161290322	0.0
6.933818646774178	104.31841935483871	0.0
6.39417883987681	104.3913870967742	0.0
5.854539032979442	104.46435483870968	0.0
5.314899226082076	104.53732258064517	0.0
4.775259419184708	104.61029032258064	0.0
4.235619612287341	104.68325806451612	0.0
3.6959798053899746	104.75622580645161	0.0
3.156339998492607	104.8291935483871	0.0
2.616700191595239	104.90216129032258	0.0
2.0770603846978712	104.97512903225807	0.0
1.5374205778005052	105.04809677419354	0.0
0.9977807709031374	105.12106451612902	0.0
0.4581409640057714	105.19403225806451	0.0
