X	Y	Z
-55.70862	105.197	0.0
-55.13626	105.197	0.0
-54.371402	105.197	0.0
-53.797878	105.197	0.0
-53.224195	105.197	0.0
-52.650458	105.197	0.0
-52.076643	105.197	0.0
-51.502774	105.197	0.0
-50.9288	105.197	0.0
-50.354746	105.197	0.0
-49.780613	105.197	0.0
-49.206401	105.197	0.0
-48.632109	105.197	0.0
-48.05779	105.197	0.0
-47.483366	105.197	0.0
-46.908889	105.197	0.0
-46.334332	105.197	0.0
-45.759696	105.197	0.0
-45.185033	105.197	0.0
-44.610239	105.197	0.0
-44.035444	105.197	0.0
-43.460543	105.197	0.0
-42.885589	105.197	0.0
-42.310609	105.197	0.0
-41.735523	105.197	0.0
-41.160437	105.197	0.0
-40.585245	105.197	0.0
-40.010027	105.197	0.0
-39.434703	105.197	0.0
-38.859379	105.197	0.0
-38.283949	105.197	0.0
-37.708519	105.197	0.0
-37.133036	105.197	0.0
-36.557473	105.197	0.0
-35.981884	105.197	0.0
-35.406242	105.197	0.0
-34.830574	105.197	0.0
-34.254827	105.197	0.0
-33.679052	105.197	0.0
-33.103225	105.197	0.0
-32.527372	105.197	0.0
-31.951465	105.197	0.0
-31.375532	105.197	0.0
-30.799546	105.197	0.0
-30.223534	105.197	0.0
-29.647469	105.197	0.0
-29.071403	105.197	0.0
-28.495285	105.197	0.0
-27.919141	105.197	0.0
-27.342969	105.197	0.0
-26.766772	105.197	0.0
-26.190548	105.197	0.0
-25.614271	105.197	0.0
-25.037994	105.197	0.0
-24.46169	105.197	0.0
-23.885334	105.197	0.0
-23.308977	105.197	0.0
-22.732594	105.197	0.0
-22.156185	105.197	0.0
-21.579776	105.197	0.0
-21.00334	105.197	0.0
-20.426904	105.197	0.0
-19.850415	105.197	0.0
-19.273926	105.197	0.0
-18.697438	105.197	0.0
-18.120922	105.197	0.0
-17.544381	105.197	0.0
-16.967865	105.197	0.0
-16.391297	105.197	0.0
-15.814756	105.197	0.0
-15.238214	105.197	0.0
-14.661646	105.197	0.0
-14.085078	105.197	0.0
-13.508509	105.197	0.0
-12.931941	105.197	0.0
-12.355373	105.197	0.0
-11.778805	105.197	0.0
-11.202237	105.197	0.0
-10.625695	105.197	0.0
-10.049127	105.197	0.0
-9.472585	105.197	0.0
-8.89607	105.197	0.0
-8.319555	105.197	0.0
-7.743039	105.197	0.0
-7.166524	105.197	0.0
-6.590009	105.197	0.0
-6.013547	105.197	0.0
-5.437058	105.197	0.0
-4.860622	105.197	0.0
-4.28416	105.197	0.0
-3.70775	105.197	0.0
-3.131341	105.197	0.0
-2.554932	105.197	0.0
-1.978549	105.197	0.0
-1.402192	105.197	0.0
-0.394491	105.384933	0.0
0.189566	105.302867	0.0
0.773623	105.2208	0.0
1.35768	105.138733	0.0
1.941738	105.056667	0.0
2.525795	104.9746	0.0
3.109852	104.892533	0.0
3.693909	104.810467	0.0
4.277966	104.7284	0.0
4.862024	104.646333	0.0
5.446081	104.564267	0.0
6.030138	104.4822	0.0
6.614195	104.400133	0.0
7.198253	104.318067	0.0
7.78231	104.236	0.0
8.366367	104.153933	0.0
8.950424	104.071867	0.0
9.534482	103.9898	0.0
10.118539	103.907733	0.0
10.702596	103.825667	0.0
11.286653	103.7436	0.0
11.870711	103.661533	0.0
12.454768	103.579467	0.0
13.038825	103.4974	0.0
13.622882	103.415333	0.0
14.20694	103.333267	0.0
14.790997	103.2512	0.0
15.375054	103.169133	0.0
15.959111	103.087067	0.0
16.065489	102.995	0.0
16.643169	102.995	0.0
17.217567	102.995	0.0
17.789	102.995	0.0
18.35821	102.995	0.0
18.925912	102.995	0.0
19.492925	102.995	0.0
20.058695	102.995	0.0
20.623035	102.995	0.0
21.189122	102.995	0.0
21.760211	102.995	0.0
22.340167	102.995	0.0
22.933622	102.995	0.0
23.541898	102.995	0.0
24.16137	102.995	0.0
24.789841	102.995	0.0
25.425061	102.995	0.0
26.065336	102.995	0.0
26.709979	102.995	0.0
27.358301	102.995	0.0
28.009719	102.995	0.0
28.663678	102.995	0.0
29.319861	102.995	0.0
29.978028	102.995	0.0
30.637889	102.995	0.0
31.29918	102.995	0.0
31.961715	102.995	0.0
32.625255	102.995	0.0
33.289669	102.995	0.0
33.95485	102.995	0.0
34.620693	102.995	0.0
35.287172	102.995	0.0
35.954126	102.995	0.0
36.621505	102.995	0.0
37.289492	102.995	0.0
37.958246	102.995	0.0
38.62798	102.995	0.0
39.298772	102.995	0.0
39.970782	102.995	0.0
40.644089	102.995	0.0
41.318773	102.995	0.0
41.994832	102.995	0.0
42.672374	102.995	0.0
43.351345	102.995	0.0
44.031666	102.995	0.0
44.713151	102.995	0.0
45.39551	102.995	0.0
46.078239	102.995	0.0
46.760598	102.995	0.0
47.441819	102.995	0.0
48.121531	102.995	0.0
48.799575	102.995	0.0
49.475529	102.995	0.0
50.148836	102.995	0.0
50.818093	102.995	0.0
51.481686	102.995	0.0
52.137207	102.995	0.0
52.782114	102.995	0.0
53.414185	102.995	0.0
54.031248	102.995	0.0
54.632934	102.995	0.0
55.21919	102.995	0.0
55.791179	102.995	0.0
56.350278	102.995	0.0
56.898447	102.995	0.0
57.438146	102.995	0.0
