x_s	r_s
-55.70862012008712	1.3898347521567243
-55.13626028174332	1.76183696018084
-54.371402265167156	2.2551844351186525
-53.79787785651644	2.6253676690193832
-53.2241946428239	2.9953109220343666
-52.650458494117316	3.365187450464266
-52.07664294288993	3.734921371966581
-51.5027744566485	4.104533225326726
-50.92880010037922	4.474022269454505
-50.354746341588985	4.843392209800893
-49.78061318027786	5.21264622246673
-49.20640061644579	5.581779013950619
-48.63210865009278	5.95079084892763
-48.05779021623277	6.3197121650307855
-47.4833659123449	6.688511465926784
-46.90888867344307	7.057188222265487
-46.3343320320203	7.425794310360563
-45.759695988076636	7.794234976537047
-45.18503347662599	8.162644940405437
-44.61023862764043	8.530891070405648
-44.035443778654944	8.899075266439537
-43.46054305964145	9.267131889089807
-42.885589405614056	9.635111226619705
-42.31060928407976	10.003015131754724
-41.735523292517456	10.370767642749845
-41.160437300955216	10.738490510137154
-40.58524543936505	11.10608474544056
-40.0100271102679	11.473618105477923
-39.434702911142885	11.841039772635847
-38.8593787120178	12.20840294660336
-38.28394864286485	12.575646222764275
-37.7085185737119	12.942857473241748
-37.13303556954499	13.309954648764158
-36.55747316285719	13.676988831619964
-35.981884288662414	14.043956581033262
-35.406242479453674	14.410813431592333
-34.83057420273795	14.777652548921731
-34.254826523501265	15.144380238046763
-33.67905237675768	15.511056844883331
-33.103225295000044	15.877650608423066
-32.52737174573551	16.244219227831174
-31.951465261457002	16.610687535387846
-31.37553230967151	16.977105554681263
-30.79954642287213	17.34345290573106
-30.223534068565687	17.709784905626808
-29.647468779245354	18.076004683292982
-29.07140348992502	18.44221307993115
-28.495285265590724	18.808355043126816
-27.91914057374943	19.174446453384164
-27.34296941440116	19.54047619435025
-26.766771787545906	19.906487937411594
-26.19054769318367	20.272440393257316
-25.614270663807545	20.63833488526276
-25.037993634431412	21.004220642990905
-24.46169013754822	21.370044731427797
-23.885333705651142	21.735825148478174
-23.30897727375406	22.101593655150417
-22.732594374349993	22.467303668632237
-22.156185007438943	22.833005212511832
-21.57977564052797	23.198653027352265
-21.003339806109942	23.564278080136702
-20.426903971691914	23.92989942747016
-19.85041520225998	24.29547233926586
-19.273926432827977	24.66100899057699
-18.69743766339606	25.026561522392313
-18.12092242645707	25.392078852423364
